"Reference","Contrast","B","SE","df","95% CI","t-value","p-value"
"Ethnorace_Minus1SD Affiliation_Contrast_Mean","Date_Index",0,0,741.829,"[0, 0]",-2.052,0.041
"Ethnorace_Minus1SD Affiliation_Contrast_NA","Date_Index",0,0,714.575,"[0, 0]",2.119,0.034
"Ethnorace_NA Affiliation_Contrast_Mean","Date_Index",0,0,736.974,"[0, 0]",-1.174,0.241
"Ethnorace_NA Affiliation_Contrast_NA","Date_Index",0,0,673.527,"[0, 0]",-1.279,0.201
"Ethnorace_Minus1SD Date_Index_Plus1SD","Affiliation_Contrast",-0.011,0.005,609.609,"[-0.02, -0.002]",-2.311,0.021
"Ethnorace_Minus1SD Date_Index_NA","Affiliation_Contrast",0.009,0.003,127.359,"[0.003, 0.014]",3.177,0.002
"Ethnorace_Minus1SD Date_Index_NA","Affiliation_Contrast",0.009,0.003,127.359,"[0.003, 0.014]",3.177,0.002
"Ethnorace_Minus1SD Date_Index_NA","Affiliation_Contrast",0.009,0.003,127.359,"[0.003, 0.014]",3.177,0.002
"Ethnorace_Minus1SD Date_Index_NA","Affiliation_Contrast",0.009,0.003,127.359,"[0.003, 0.014]",3.177,0.002
"Ethnorace_NA Date_Index_Plus1SD","Affiliation_Contrast",0.002,0.006,490.971,"[-0.009, 0.014]",0.373,0.709
"Ethnorace_NA Date_Index_NA","Affiliation_Contrast",-0.002,0.003,236.794,"[-0.009, 0.003]",-0.792,0.429
"Ethnorace_NA Date_Index_NA","Affiliation_Contrast",-0.002,0.003,236.794,"[-0.009, 0.003]",-0.792,0.429
"Ethnorace_NA Date_Index_NA","Affiliation_Contrast",-0.002,0.003,236.794,"[-0.009, 0.003]",-0.792,0.429
"Ethnorace_NA Date_Index_NA","Affiliation_Contrast",-0.002,0.003,236.794,"[-0.009, 0.003]",-0.792,0.429
"Affiliation_Contrast_Mean Date_Index_Plus1SD","Ethnorace",-0.003,0.004,743.157,"[-0.012, 0.005]",-0.658,0.511
"Affiliation_Contrast_Mean Date_Index_NA","Ethnorace",0.002,0.002,743.666,"[-0.002, 0.007]",1.006,0.315
"Affiliation_Contrast_Mean Date_Index_NA","Ethnorace",0.002,0.002,743.666,"[-0.002, 0.007]",1.006,0.315
"Affiliation_Contrast_Mean Date_Index_NA","Ethnorace",0.002,0.002,743.666,"[-0.002, 0.007]",1.006,0.315
"Affiliation_Contrast_Mean Date_Index_NA","Ethnorace",0.002,0.002,743.666,"[-0.002, 0.007]",1.006,0.315
"Affiliation_Contrast_NA Date_Index_Plus1SD","Ethnorace",0.01,0.006,694.334,"[-0.001, 0.022]",1.692,0.091
"Affiliation_Contrast_NA Date_Index_NA","Ethnorace",-0.009,0.003,637.066,"[-0.015, -0.003]",-2.721,0.007
"Affiliation_Contrast_NA Date_Index_NA","Ethnorace",-0.009,0.003,637.066,"[-0.015, -0.003]",-2.721,0.007
"Affiliation_Contrast_NA Date_Index_NA","Ethnorace",-0.009,0.003,637.066,"[-0.015, -0.003]",-2.721,0.007
"Affiliation_Contrast_NA Date_Index_NA","Ethnorace",-0.009,0.003,637.066,"[-0.015, -0.003]",-2.721,0.007
